"job_title","salary_year_avg","job_location","company_name","job_schedule_type","job_posted_date"
"Data Analyst","650000","Anywhere","Mantys","Full-time","2023-02-20 15:13:33"
"Director of Analytics","336500","Anywhere","Meta","Full-time","2023-08-23 12:04:42"
"Associate Director- Data Insights","255830","Anywhere","AT&T","Full-time","2023-06-18 16:03:12"
"Data Analyst, Marketing","232423","Anywhere","Pinterest Job Advertisements","Full-time","2023-12-05 20:00:40"
"Data Analyst (Hybrid/Remote)","217000","Anywhere","Uclahealthcareers","Full-time","2023-01-17 00:17:23"
"Principal Data Analyst (Remote)","205000","Anywhere","SmartAsset","Full-time","2023-08-09 11:00:01"
"Director, Data Analyst - HYBRID","189309","Anywhere","Inclusively","Full-time","2023-12-07 15:00:13"
"Principal Data Analyst, AV Performance Analysis","189000","Anywhere","Motional","Full-time","2023-01-05 00:00:25"
"Principal Data Analyst","186000","Anywhere","SmartAsset","Full-time","2023-07-11 16:00:05"
"ERM Data Analyst","184000","Anywhere","Get It Recruit - Information Technology","Full-time","2023-06-09 08:01:04"
