"job_title","salary_year_avg","skills"
"Data Analyst","650000",""
"Director of Analytics","336500",""
"Associate Director- Data Insights","255830","sql, python, r, azure, databricks, aws, pandas, pyspark, jupyter, excel, tableau, power bi, powerpoint"
"Data Analyst, Marketing","232423","sql, python, r, hadoop, tableau"
"Data Analyst (Hybrid/Remote)","217000","sql, crystal, oracle, tableau, flow"
"Principal Data Analyst (Remote)","205000","sql, python, go, snowflake, pandas, numpy, excel, tableau, gitlab"
"Director, Data Analyst - HYBRID","189309","sql, python, azure, aws, oracle, snowflake, tableau, power bi, sap, jenkins, bitbucket, atlassian, jira, confluence"
"Principal Data Analyst, AV Performance Analysis","189000","sql, python, r, git, bitbucket, atlassian, jira, confluence"
"Principal Data Analyst","186000","sql, python, go, snowflake, pandas, numpy, excel, tableau, gitlab"
"ERM Data Analyst","184000","sql, python, r"
